"Postinumeroalue";"X-koordinaatti metrein�";"Y-koordinaatti metrein�";"Postinumeroalueen pinta-ala";"Asukkaat yhteens�, 2017 (HE)"
"00100 Helsinki Keskusta - Etu-T��l�   (Helsinki )";385114;6672391;2353278;18284
"00120 Punavuori   (Helsinki )";385614;6671378;414010;7108
"00130 Kaartinkaupunki   (Helsinki )";386228;6671492;428960;1508
"00140 Kaivopuisto - Ullanlinna   (Helsinki )";386410;6670742;931841;7865
"00150 Eira - Hernesaari   (Helsinki )";385235;6670549;1367328;9496
"00160 Katajanokka   (Helsinki )";387315;6671716;541136;4541
"00170 Kruununhaka   (Helsinki )";386475;6672476;713343;7461
"00180 Kamppi - Ruoholahti   (Helsinki )";384271;6671354;1735293;13872
"00190 Suomenlinna   (Helsinki )";388104;6668955;765012;743
"00200 Lauttasaari   (Helsinki )";381848;6671166;2619434;15786
"00210 Vattuniemi   (Helsinki )";382430;6670069;1478221;8412
"00220 J�tk�saari   (Helsinki )";384383;6670621;684781;5884
"00230 Ilmala   (Helsinki )";384730;6677127;171851;0
"00240 L�nsi-Pasila   (Helsinki )";384919;6676059;2352593;5254
"00250 Taka-T��l�   (Helsinki )";384244;6674230;3060834;11277
"00260 Keski-T��l�   (Helsinki )";384850;6673248;751805;5478
"00270 Pohjois-Meilahti   (Helsinki )";383758;6674930;864732;7723
"00280 Ruskeasuo   (Helsinki )";383955;6675745;787425;2963
"00290 Meilahden sairaala-alue   (Helsinki )";383910;6674307;268739;143
"00300 Pikku Huopalahti   (Helsinki )";383195;6675942;851105;5809
"00310 Kivihaka   (Helsinki )";384036;6676722;657213;890
"00320 Etel�-Haaga   (Helsinki )";383409;6677407;1942280;10231
"00330 Munkkiniemi   (Helsinki )";382150;6675391;1726680;8848
"00340 Kuusisaari-Lehtisaari   (Helsinki )";380844;6673300;1008214;1722
"00350 Munkkivuori-Niemenm�ki   (Helsinki )";381882;6676457;2148284;9309
"00360 Pajam�ki   (Helsinki )";381245;6677484;539398;1825
"00370 Reimarla   (Helsinki )";381032;6678211;3188974;6702
"00380 Pit�j�nm�en teollisuusalue   (Helsinki )";382111;6677479;1324069;4515
"00390 Konala   (Helsinki )";380759;6680135;3232854;6328
"00400 Pohjois-Haaga   (Helsinki )";383646;6678555;1764452;9672
"00410 Malminkartano   (Helsinki )";381444;6681036;1941784;8553
"00420 Kannelm�ki   (Helsinki )";382617;6680395;2937878;13989
"00430 Maununneva   (Helsinki )";383711;6681530;4772714;5454
"00440 Lassila   (Helsinki )";382574;6679013;950305;4626
"00500 S�rn�inen   (Helsinki )";386932;6673991;584540;12634
"00510 Etu-Vallila - Alppila   (Helsinki )";386210;6674491;1066747;9628
"00520 It�-Pasila   (Helsinki )";385787;6675359;1302377;7306
"00530 Kallio   (Helsinki )";386276;6673412;1588140;18612
"00540 Kalasatama   (Helsinki )";387683;6673550;683207;2521
"00550 Vallila   (Helsinki )";386939;6675139;962817;9464
"00560 Toukola-Vanhakaupunki   (Helsinki )";388106;6676772;3884319;13438
"00570 Kulosaari   (Helsinki )";389526;6673728;1796540;3962
"00580 Verkkosaari   (Helsinki )";387780;6674661;1292602;2727
"00590 Kaitalahti   (Helsinki )";390312;6672045;1821381;904
"00600 Koskela-Helsinki   (Helsinki )";387178;6677577;949209;4147
"00610 K�pyl�   (Helsinki )";386306;6676787;2173242;8249
"00620 Mets�l�-Etel�-Oulunkyl�   (Helsinki )";385565;6677939;2244049;3349
"00630 Maunula-Suursuo   (Helsinki )";385100;6678943;2513374;8383
"00640 Oulunkyl�-Patola   (Helsinki )";387194;6679152;2259873;8171
"00650 Ver�j�m�ki   (Helsinki )";387962;6678506;1631932;4315
"00660 L�nsi-Pakila   (Helsinki )";385356;6680111;2559655;6702
"00670 Palohein�   (Helsinki )";385316;6681518;3040959;6025
"00680 It�-Pakila   (Helsinki )";387015;6680610;2257775;3695
"00690 Tuomarinkyl�-Torpparinm�ki   (Helsinki )";386572;6682666;4620529;2761
"00700 Malmi   (Helsinki )";390789;6680665;6479126;13271
"00710 Pihlajam�ki   (Helsinki )";389420;6679099;2823097;12710
"00720 Pukinm�ki-Savela   (Helsinki )";388585;6680320;2088327;8574
"00730 Tapanila   (Helsinki )";390646;6682592;3623273;11226
"00740 Siltam�ki   (Helsinki )";389151;6683735;3565185;10347
"00750 Puistola   (Helsinki )";391122;6684179;3031850;9629
"00760 Suurmets�   (Helsinki )";392776;6683130;3363242;7672
"00770 Jakom�ki - Alppikyl�   (Helsinki )";393064;6681670;3546000;7289
"00780 Tapaninvainio   (Helsinki )";388578;6681817;2282750;7079
"00790 Viikki   (Helsinki )";390718;6678181;3725157;11039
"00800 L�nsi-Herttoniemi   (Helsinki )";391136;6676464;3047913;7190
"00810 Herttoniemi   (Helsinki )";390662;6674560;2446289;11578
"00820 Roihuvuori   (Helsinki )";392404;6675298;1295254;7265
"00830 Tammisalo   (Helsinki )";393339;6673522;1599520;2243
"00840 Laajasalo   (Helsinki )";391916;6672665;3013995;8206
"00850 Jollas   (Helsinki )";393303;6671230;4156916;3144
"00860 Santahamina   (Helsinki )";391759;6669179;6393082;395
"00870 Etel�-Laajasalo   (Helsinki )";391402;6671484;1407889;6211
"00880 Roihupellon teollisuusalue   (Helsinki )";391892;6675787;1596428;719
"00890 �stersundom   (Helsinki )";400123;6682107;27345953;2007
"00900 Puotinharju   (Helsinki )";393609;6676850;1169003;4248
"00910 Puotila   (Helsinki )";394779;6676542;1118992;6183
"00920 Myllypuro   (Helsinki )";392788;6677787;3573373;13019
"00930 It�keskus-Marjaniemi   (Helsinki )";393700;6675828;2034415;6830
"00940 Kontula - Vesala   (Helsinki )";393444;6679510;5733170;26173
"00950 Vartioharju   (Helsinki )";395197;6677776;3135342;5967
"00960 Pohjois-Vuosaari   (Helsinki )";397123;6677669;2504021;7201
"00970 Mellunm�ki   (Helsinki )";396193;6679087;3453709;10628
"00980 Etel�-Vuosaari   (Helsinki )";397416;6676175;10710384;23055
"00990 Aurinkolahti   (Helsinki )";398339;6675428;2565419;8398
"01120 V�sterskog   (Sipoo )";404452;6682594;24999344;1420
"01150 S�derkulla   (Sipoo )";407700;6684914;48542566;5747
"01180 Kalkkiranta   (Porvoo )";411962;6681624;16962601;466
"01190 Box   (Sipoo )";411745;6687293;32270791;1020
"01200 Hakunila   (Vantaa )";397350;6683971;19485593;11967
"01230 Vaarala   (Vantaa )";395072;6682179;3365938;2981
