,Talotyyppi,m2,Vh,em2,Rv,Krs,Hissi,Kunto,Tontti,postcode,X,Y,PA,Asukkaat,vaestontiheys
0,kt,1780,190000,10674,1932,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
1,kt,2550,255000,10000,1911,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
2,kt,1560,182500,11699,1932,6/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
3,kt,2650,289000,10906,1912,2/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
4,kt,2600,290000,11154,1937,5/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
5,kt,2850,279000,9789,1932,2/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
6,kt,2420,239000,9876,1912,2/5,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
7,kt,4900,400000,8163,1906,1/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
8,kt,4000,308000,7700,1911,5/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
9,kt,2590,249000,9614,1928,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
10,kt,5100,685000,13431,2005,6/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
11,kt,2400,217000,9042,1929,6/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
12,kt,2800,260000,9286,1927,1/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
13,kt,4100,320000,7805,1911,2/5,ei,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
14,kt,2300,226000,9826,1934,1/3,ei,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
15,kt,4790,500000,10438,1905,3/3,ei,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
16,kt,4300,285000,6628,1928,7/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
17,kt,3900,360000,9231,1927,6/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
18,kt,4700,392000,8340,1927,3/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
19,kt,5200,398000,7654,1911,5/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
20,kt,4200,381500,9083,1913,2/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
21,kt,3900,312000,8000,1928,1/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
22,kt,4200,370000,8810,1914,3/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
23,kt,8100,490000,6049,1936,7/7,on,huono,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
24,kt,5600,495000,8839,2009,4/8,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
25,kt,3940,340000,8629,1927,4/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
26,kt,5630,389000,6909,1924,1/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
27,kt,7550,565000,7483,1928,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
28,kt,5700,399500,7009,1927,1/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
29,kt,5580,407000,7294,1928,7/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
30,kt,7750,555000,7161,1926,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
31,kt,5660,445000,7862,1923,3/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
32,kt,4440,351000,7905,1927,3/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
33,kt,4950,485000,9798,1908,2/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
34,kt,5350,420000,7850,1929,7/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
35,kt,6800,463000,6809,1929,4/8,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
36,kt,4510,390000,8647,1927,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
37,kt,3700,335000,9054,1936,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
38,kt,5800,438000,7552,1932,2/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
39,kt,3600,316000,8778,1921,3/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
40,kt,4880,359000,7357,1962,2/6,ei,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
41,kt,8100,540000,6667,1936,2/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
42,kt,6000,410000,6833,1988,6/8,on,hyvä,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
43,kt,5000,335000,6700,1930,6/8,on,huono,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
44,kt,4200,355000,8452,1929,1/4,ei,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
45,kt,5800,461000,7948,1932,2/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
46,kt,7400,516600,6981,1926,5/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
47,kt,8400,1215000,14464,2014,4/6,on,,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
48,kt,8400,1315000,15655,2014,4/6,on,,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
49,kt,5350,428000,8000,1931,7/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
50,kt,5000,460000,9200,1905,4/5,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
51,kt,6600,592000,8970,1922,6/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
52,kt,4850,403000,8309,1926,4/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
53,kt,6600,520000,7879,1927,3/7,on,,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
54,kt,5200,470600,9050,1913,4/4,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
55,kt,5750,415000,7217,1930,6/8,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
56,kt,5850,521000,8906,1928,7/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
57,kt,4640,430000,9267,1922,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
58,kt,4250,380000,8941,1935,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
59,kt,7750,630000,8129,1922,5/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
60,kt,5850,410000,7009,1928,1/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
61,kt,7090,399000,5628,1924,3/6,ei,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
62,kt,5550,408000,7351,1908,4/5,ei,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
63,kt,7350,550000,7483,1928,3/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
64,kt,6100,355000,5820,1922,1/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
65,kt,5000,350000,7000,1929,3/5,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
66,kt,4600,580000,12609,2005,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
67,kt,4850,360000,7423,1929,3/5,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
68,kt,4350,392000,9011,1932,5/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
69,kt,4300,358000,8326,1922,1/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
70,kt,7750,550000,7097,1926,5/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
71,kt,10340,700000,6770,1925,4/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
72,kt,10240,725000,7080,1920,2/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
73,kt,7050,527000,7475,1924,4/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
74,kt,12150,957000,7877,1928,6/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
75,kt,8700,700000,8046,1938,4/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
76,kt,10500,850000,8095,1926,2/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
77,kt,8200,689500,8409,2009,4/8,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
78,kt,7600,570000,7500,1926,6/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
79,kt,8900,580000,6517,1927,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
80,kt,7750,589000,7600,1930,4/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
81,kt,8140,590500,7254,1924,4/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
82,kt,8300,1060000,12771,2014,2/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
83,kt,7410,570000,7692,1924,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
84,kt,9300,530000,5699,1934,2/7,on,huono,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
85,kt,7300,580000,7945,1912,2/3,ei,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
86,kt,7800,621500,7968,1920,1/5,ei,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
87,kt,11900,765000,6429,1924,3/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
88,kt,9600,600000,6250,1925,5/6,on,huono,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
89,kt,9100,648000,7121,1935,4/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
90,kt,6940,560000,8069,1925,1/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
91,kt,8340,530000,6355,1927,2/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
92,kt,8150,560000,6871,1988,7/8,on,hyvä,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
93,kt,11700,810000,6923,1926,3/6,ei,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
94,kt,5600,446000,7964,1914,6/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
95,kt,9500,770000,8105,1907,5/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
96,kt,6800,612000,9000,1914,6/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
97,kt,9500,655000,6895,1924,6/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
98,kt,8200,634000,7732,2014,1/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
99,kt,8850,720000,8136,1925,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
100,kt,14100,1032000,7319,1882,3/4,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
101,kt,9920,725000,7308,1924,5/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
102,kt,6900,475000,6884,1931,2/7,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
103,kt,7450,645000,8658,1974,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
104,kt,11800,1024000,8678,1882,4/4,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
105,kt,18300,1080000,5902,1922,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
106,kt,9700,700000,7216,1926,1/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
107,kt,11390,761000,6681,1926,5/6,on,huono,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
108,kt,22850,1460000,6389,1910,2/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
109,kt,10700,635000,5935,1988,4/7,on,hyvä,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
110,kt,9720,600000,6173,1926,4/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
111,kt,8600,598000,6953,1974,6/9,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
112,kt,17400,1250000,7184,1920,6/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
113,kt,13700,960000,7007,1927,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
114,kt,9680,790000,8161,1926,2/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
115,kt,11750,710000,6043,1988,4/8,on,hyvä,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
116,kt,17300,1290000,7457,1924,3/5,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
117,kt,9050,590000,6519,1988,7/7,on,hyvä,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
118,kt,11700,597000,5103,1928,5/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
119,kt,13000,950000,7308,1911,2/5,ei,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
120,kt,28000,1400000,5000,1926,3/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
