,Kaupunginosa ,Huoneisto,Talot. ,m2 ,Vh € ,€/m2 ,Rv ,Krs ,Hissi ,Kunto ,Tontti ,Energial. ,postcode
0,1,1,1,1,1,1,1,1,1,1,1,1,00100
1,,1,,,,,,,,,,,00100
2,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,00100
3,Kamppi,1h+kph,kt,1780,190000,10674,1932,4/6,on,hyvä,oma,F2013,00100
4,Kamppi,1h+avok.+kph+parvi,kt,2550,255000,10000,1911,4/6,on,hyvä,oma,D2013,00100
5,Kamppi,1 h+kph,kt,1560,182500,11699,1932,6/6,on,hyvä,oma,F2013,00100
6,Etu-töölö,1h+kk,kt,2650,289000,10906,1912,2/5,on,hyvä,oma,F2013,00100
7,Keskusta,"1h,avok,kph.",kt,2600,290000,11154,1937,5/5,on,hyvä,oma,G2013,00100
8,Kamppi,1h+avok.+alk.+k...,kt,2850,279000,9789,1932,2/7,on,hyvä,oma,D2007,00100
9,Kamppi,"1h, avok., kph,...",kt,2420,239000,9876,1912,2/5,on,tyyd.,oma,E2007,00100
10,Kamppi,"1 h, k, kph",kt,4900,400000,8163,1906,1/7,on,hyvä,oma,,00100
11,Töölö,"1 h, k, kh",kt,4000,308000,7700,1911,5/6,on,tyyd.,oma,E2007,00100
12,Etu-töölö,1h,kt,2590,249000,9614,1928,5/6,on,hyvä,oma,F2013,00100
13,Kamppi,1h+kk+s,kt,5100,685000,13431,2005,6/6,on,hyvä,oma,D2007,00100
14,Etu-töölö,"1h, avok, kph, kht",kt,2400,217000,9042,1929,6/7,on,hyvä,oma,E2018,00100
15,Etu-töölö,"1h, kk",kt,2800,260000,9286,1927,1/6,on,tyyd.,oma,F2013,00100
16,Etu-töölö,1h+k,kt,4100,320000,7805,1911,2/5,ei,hyvä,oma,E2018,00100
17,Töölö,"1h,ikk.kk,kh",kt,2300,226000,9826,1934,1/3,ei,tyyd.,oma,D2013,00100
18,Keskusta,"1h,k",kt,4790,500000,10438,1905,3/3,ei,tyyd.,oma,G,00100
19,Töölö,2 huonetta,kt,4300,285000,6628,1928,7/7,on,hyvä,oma,F2013,00100
20,Etu-töölö,1h+k+alkovi+kph,kt,3900,360000,9231,1927,6/6,on,tyyd.,oma,G2013,00100
21,Etu-töölö,"Huone, avokeitt...",kt,4700,392000,8340,1927,3/6,on,hyvä,oma,F2013,00100
22,Kamppi,1h+k,kt,5200,398000,7654,1911,5/7,on,hyvä,oma,D2013,00100
23,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,00100
24,Etu-töölö,"2 h, k, kph",kt,4200,381500,9083,1913,2/5,on,hyvä,oma,F,00100
25,Etu-töölö,"2h, kk, kph",kt,3900,312000,8000,1928,1/6,on,hyvä,oma,E2013,00100
26,Kamppi,"2 h, avok, vh, ...",kt,4200,370000,8810,1914,3/5,on,hyvä,oma,G2013,00100
27,Etu-töölö,"2h, k",kt,8100,490000,6049,1936,7/7,on,huono,oma,F,00100
28,Etu-töölö,"2h, k, kph, s, ...",kt,5600,495000,8839,2009,4/8,on,hyvä,oma,F2013,00100
29,Etu-töölö,"2h, kk, kph, et...",kt,3940,340000,8629,1927,4/6,on,tyyd.,oma,,00100
30,Etu-töölö,"2 h, avok, alko...",kt,5630,389000,6909,1924,1/6,on,hyvä,oma,G2013,00100
31,Etu-töölö,"2h, avok, kph",kt,7550,565000,7483,1928,4/6,on,hyvä,oma,F2013,00100
32,Etu-töölö,"2h, kk, wc",kt,5700,399500,7009,1927,1/6,on,hyvä,oma,F2013,00100
33,Etu-töölö,"2h, k, kph",kt,5580,407000,7294,1928,7/7,on,tyyd.,oma,C2007,00100
34,Etu-töölö,2-3h+avok+kph+w...,kt,7750,555000,7161,1926,4/6,on,hyvä,oma,F2013,00100
35,Etu-töölö,"2h, avokeitti...",kt,5660,445000,7862,1923,3/6,on,hyvä,oma,F2013,00100
36,Töölö,1h + avokeitti&...,kt,4440,351000,7905,1927,3/7,on,hyvä,oma,F2013,00100
37,Keskusta,2h+k+kph,kt,4950,485000,9798,1908,2/6,on,hyvä,oma,F2013,00100
38,Etu-töölö,"2h, kk, kph, wc",kt,5350,420000,7850,1929,7/7,on,tyyd.,oma,F2013,00100
39,Etu-töölö,"2h, k, halli, kph",kt,6800,463000,6809,1929,4/8,on,tyyd.,oma,F2013,00100
40,Etu-töölö,2h+k+kph,kt,4510,390000,8647,1927,4/6,on,hyvä,oma,F,00100
41,Etu-töölö,2h+k+kh,kt,3700,335000,9054,1936,4/6,on,hyvä,oma,E2007,00100
42,Kamppi,3h (yhtiöj...,kt,5800,438000,7552,1932,2/7,on,tyyd.,oma,F2013,00100
43,Etu-töölö,"2h, k",kt,3600,316000,8778,1921,3/6,on,hyvä,oma,B2007,00100
44,Keskusta/kamppi,"2h,k,kph,vh.",kt,4880,359000,7357,1962,2/6,ei,hyvä,oma,G2013,00100
45,Etu-töölö,2h+k+halli+parveke,kt,8100,540000,6667,1936,2/7,on,hyvä,oma,F2013,00100
46,"Kamppi, töölö",2h+avok+p,kt,6000,410000,6833,1988,6/8,on,hyvä,vuokra,E2013,00100
47,Töölö,"2h, kk",kt,5000,335000,6700,1930,6/8,on,huono,oma,F2013,00100
48,Kamppi,"1h, lasisein...",kt,4200,355000,8452,1929,1/4,ei,hyvä,oma,,00100
49,Kamppi,3h (yhtiöj...,kt,5800,461000,7948,1932,2/7,on,tyyd.,oma,F2013,00100
50,Töölö,"2h,k,kh",kt,7400,516600,6981,1926,5/6,on,tyyd.,oma,D2007,00100
51,Kluuvi,2-3 h + kt + s,kt,8400,1215000,14464,2014,4/6,on,,oma,C2007,00100
52,Kluuvi,2 - 3 h + kt + s,kt,8400,1315000,15655,2014,4/6,on,,vuokra,C2007,00100
53,Etu-töölö,2h+kk,kt,5350,428000,8000,1931,7/7,on,tyyd.,oma,F2013,00100
54,Kamppi,"2h, avok, kph/wc",kt,5000,460000,9200,1905,4/5,on,tyyd.,oma,F,00100
55,Etu-töölö,"2h, k, kph, eri...",kt,6600,592000,8970,1922,6/6,on,hyvä,oma,G2013,00100
56,1,1,1,1,1,1,1,1,1,1,1,1,00100
57,,1,,,,,,,,,,,00100
0,2,2,2,2,2,2,2,2,2,2,2,2,00100
1,,2,,,,,,,,,,,00100
2,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,00100
3,Etu-töölö,"2h, kk, kph (yh...",kt,4850,403000,8309,1926,4/6,on,tyyd.,oma,F2007,00100
4,Etu-töölö,2H+K,kt,6600,520000,7879,1927,3/7,on,,oma,F2018,00100
5,Etu-töölö,"2h, k, kh",kt,5200,470600,9050,1913,4/4,on,hyvä,oma,G2013,00100
6,Töölö,"2h, k, kph, s",kt,5750,415000,7217,1930,6/8,on,tyyd.,oma,F2013,00100
7,Etu-töölö,2h+k,kt,5850,521000,8906,1928,7/7,on,hyvä,oma,D2013,00100
8,Kluuvi,"2h, k, vh, kph, wc",kt,4640,430000,9267,1922,4/6,on,hyvä,oma,D2007,00100
9,Etu-töölö,"2h, avok, kph, ...",kt,4250,380000,8941,1935,5/6,on,hyvä,oma,,00100
10,Kluuvi,"2 h, avok, kph,...",kt,7750,630000,8129,1922,5/5,on,hyvä,oma,D2007,00100
11,Etu-töölö,"2 h, kk, kph, e...",kt,5850,410000,7009,1928,1/6,on,hyvä,oma,D2007,00100
12,Etu-töölö,"2 h, k, kph, wc",kt,7090,399000,5628,1924,3/6,ei,tyyd.,oma,D2007,00100
13,Keskusta,"2h, k, kph",kt,5550,408000,7351,1908,4/5,ei,tyyd.,oma,B,00100
14,Kamppi,"2h, k, kph, hal...",kt,7350,550000,7483,1928,3/6,on,hyvä,oma,F2013,00100
15,Etu-töölö,2h+k+kph (Yj. 2...,kt,6100,355000,5820,1922,1/7,on,tyyd.,oma,D,00100
16,Kamppi,2h+kt+kh,kt,5000,350000,7000,1929,3/5,on,tyyd.,oma,G2013,00100
17,Kamppi,2h+k+s,kt,4600,580000,12609,2005,5/6,on,hyvä,oma,D2007,00100
18,Kamppi,2h+kt+kh,kt,4850,360000,7423,1929,3/5,on,tyyd.,oma,G2013,00100
19,Kamppi,"2h, k, kph",kt,4350,392000,9011,1932,5/7,on,hyvä,oma,D2013,00100
20,Etu-töölö,"2h, kt, erill. ...",kt,4300,358000,8326,1922,1/6,on,hyvä,oma,F2013,00100
21,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,00100
22,Etu-töölö,"3h, k, halli, k...",kt,7750,550000,7097,1926,5/6,on,tyyd.,oma,F2013,00100
23,Etu-töölö,"3h, k, halli, kph",kt,10340,700000,6770,1925,4/6,on,tyyd.,oma,D2007,00100
24,Etu-töölö,"3h, avok, kph, ...",kt,10240,725000,7080,1920,2/6,on,hyvä,oma,F2013,00100
25,Etu-töölö,3h+kk,kt,7050,527000,7475,1924,4/7,on,tyyd.,oma,D2018,00100
26,Etu-töölö,3h+k+kph/s+wc,kt,12150,957000,7877,1928,6/7,on,hyvä,oma,F2013,00100
27,Etu-töölö,3h+k+halli+2xkph+p,kt,8700,700000,8046,1938,4/7,on,hyvä,oma,E2013,00100
28,Kamppi,3h+k+palv.h,kt,10500,850000,8095,1926,2/6,on,hyvä,oma,D2007,00100
29,Etu-töölö,3h+k+s,kt,8200,689500,8409,2009,4/8,on,hyvä,oma,F2013,00100
30,Etu-töölö,"3h, k, vh, wc, ...",kt,7600,570000,7500,1926,6/6,on,hyvä,oma,F2013,00100
31,Etu-töölö,"3h,k,kph",kt,8900,580000,6517,1927,5/6,on,hyvä,oma,F2013,00100
32,Etu-töölö,"3h, k, kph/wc",kt,7750,589000,7600,1930,4/6,on,hyvä,oma,F2013,00100
33,Töölö,"3h, avokeitti...",kt,8140,590500,7254,1924,4/6,on,tyyd.,oma,F2013,00100
34,Kamppi,3h+kt+s,kt,8300,1060000,12771,2014,2/6,on,hyvä,oma,C2018,00100
35,Etu-töölö,3h+k,kt,7410,570000,7692,1924,5/6,on,hyvä,oma,G2013,00100
36,Etu-töölö,"2-3h, halli,k, ...",kt,9300,530000,5699,1934,2/7,on,huono,oma,E2018,00100
37,Etu-töölö,3h+kk+kph,kt,7300,580000,7945,1912,2/3,ei,hyvä,oma,E2018,00100
38,Etu-töölö,3h+k+khh+vh (yh...,kt,7800,621500,7968,1920,1/5,ei,hyvä,oma,F2013,00100
39,Etu-töölö,"3h, k, ph, hall...",kt,11900,765000,6429,1924,3/7,on,tyyd.,oma,F2013,00100
40,Etu-töölö,3h+k+kph+halli,kt,9600,600000,6250,1925,5/6,on,huono,oma,D2007,00100
41,Etu-töölö,3h+k+halli+kph,kt,9100,648000,7121,1935,4/6,on,tyyd.,oma,F2013,00100
42,Etu-töölö,3h + avok + kph...,kt,6940,560000,8069,1925,1/7,on,hyvä,oma,F2013,00100
43,Etu-töölö,3h+k+kph+erilli...,kt,8340,530000,6355,1927,2/7,on,tyyd.,oma,F2013,00100
44,Kamppi,3h+k+s,kt,8150,560000,6871,1988,7/8,on,hyvä,vuokra,E2013,00100
45,Etu-töölö,3-4h+k+kph+s+er...,kt,11700,810000,6923,1926,3/6,ei,hyvä,oma,D2007,00100
46,Kamppi,"3h, k, s, parv.",kt,5600,446000,7964,1914,6/6,on,tyyd.,oma,G2013,00100
47,Kluuvi,"2-3 h, avok, kp...",kt,9500,770000,8105,1907,5/5,on,hyvä,oma,D2007,00100
48,Helsinki,3h+k+s+parv.+ta...,kt,6800,612000,9000,1914,6/6,on,tyyd.,oma,G2013,00100
49,Etu-töölö,3h+k+kph+wc (yh...,kt,9500,655000,6895,1924,6/6,on,hyvä,oma,F2013,00100
50,Etu-töölö,"3h, k, kph, var...",kt,8200,634000,7732,2014,1/7,on,hyvä,oma,A2007,00100
51,Etu-töölö,3h+k (Yj.2h+k+p...,kt,8850,720000,8136,1925,5/6,on,hyvä,oma,,00100
52,Kamppi,"3h, k, kph, wc,...",kt,14100,1032000,7319,1882,3/4,on,hyvä,oma,E2018,00100
53,Etu-töölö,"3h, k, kph",kt,9920,725000,7308,1924,5/6,on,tyyd.,oma,G2013,00100
54,Etu-töölö,3h+kk,kt,6900,475000,6884,1931,2/7,on,tyyd.,oma,F,00100
55,Kamppi,"3h, avok, kph, ...",kt,7450,645000,8658,1974,5/6,on,hyvä,oma,E2013,00100
56,2,2,2,2,2,2,2,2,2,2,2,2,00100
57,,2,,,,,,,,,,,00100
0,3,3,3,3,3,3,3,3,3,3,3,3,00100
1,,3,,,,,,,,,,,00100
2,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,00100
3,Kamppi,"3h, k, kph ja wc",kt,11800,1024000,8678,1882,4/4,on,hyvä,oma,C2018,00100
4,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,00100
5,Etu-töölö,Oh+k+4 x mh+kph...,kt,18300,1080000,5902,1922,5/6,on,hyvä,oma,C2007,00100
6,Etu-töölö,"4 h, avok-rt, k...",kt,9700,700000,7216,1926,1/6,on,hyvä,oma,F2013,00100
7,Etu-töölö,4h+k+ph+2wc+par...,kt,11390,761000,6681,1926,5/6,on,huono,oma,F2013,00100
8,Etu-töölö,"6h, keittiö...",kt,22850,1460000,6389,1910,2/5,on,hyvä,oma,F2013,00100
9,Kamppi,oh+k+2-3mh+s+kp...,kt,10700,635000,5935,1988,4/7,on,hyvä,vuokra,E2007,00100
10,Etu-töölö,"4 h, k, kh, 2 x wc",kt,9720,600000,6173,1926,4/6,on,tyyd.,oma,F2013,00100
11,Helsinki,4H+K,kt,8600,598000,6953,1974,6/9,on,hyvä,oma,G2013,00100
12,Etu-töölö,"4-5h, k, rh, 2k...",kt,17400,1250000,7184,1920,6/6,on,hyvä,oma,F2013,00100
13,Töölö,4h+k+kh+halli,kt,13700,960000,7007,1927,5/6,on,hyvä,oma,D2007,00100
14,Etu-töölö,"4h ,k",kt,9680,790000,8161,1926,2/5,on,hyvä,oma,,00100
15,Kamppi,"4h, k, rt, kph,...",kt,11750,710000,6043,1988,4/8,on,hyvä,vuokra,E2007,00100
16,Kamppi,6h+k+kph+wc+sauna,kt,17300,1290000,7457,1924,3/5,on,tyyd.,oma,F2013,00100
17,Kamppi,"4h, k, s, 2x pa...",kt,9050,590000,6519,1988,7/7,on,hyvä,vuokra,C2013,00100
18,Etu-töölö,"4 huonetta, hal...",kt,11700,597000,5103,1928,5/7,on,hyvä,oma,F2013,00100
19,Etu-töölö,"4 h, k, halli, ...",kt,13000,950000,7308,1911,2/5,ei,tyyd.,oma,F2013,00100
20,Etu-töölö,5-6h+k+2xkph/wc...,kt,28000,1400000,5000,1926,3/6,on,hyvä,oma,G,00100
21,Etu-töölö,"4h, k, kh, 2 x ...",kt,12500,1055000,8440,1910,2/6,on,tyyd.,oma,F2013,00100
22,Kamppi,4h+k+halli+2et+...,kt,10500,665000,6333,1929,4/5,on,tyyd.,oma,G2013,00100
23,Etu-töölö,"5h, halli, keit...",kt,18700,1270000,6791,1927,3/6,ei,hyvä,oma,D2007,00100
24,Kluuvi,"4 h, k, s, wc, p",kt,14600,1300989,8911,1913,3/6,on,hyvä,oma,E2007,00100
25,3,3,3,3,3,3,3,3,3,3,3,3,00100
26,,3,,,,,,,,,,,00100
0,1,1,1,1,1,1,1,1,1,1,1,1,00120
1,,1,,,,,,,,,,,00120
