,postcode,X-koordinaatti metrein�,Y-koordinaatti metrein�,Postinumeroalueen pinta-ala,"Asukkaat yhteens�, 2017 (HE)"
0,00100,385114,6672391,2353278,18284
1,00120,385614,6671378,414010,7108
2,00130,386228,6671492,428960,1508
3,00140,386410,6670742,931841,7865
4,00150,385235,6670549,1367328,9496
5,00160,387315,6671716,541136,4541
6,00170,386475,6672476,713343,7461
7,00180,384271,6671354,1735293,13872
8,00190,388104,6668955,765012,743
9,00200,381848,6671166,2619434,15786
10,00210,382430,6670069,1478221,8412
11,00220,384383,6670621,684781,5884
12,00230,384730,6677127,171851,0
13,00240,384919,6676059,2352593,5254
14,00250,384244,6674230,3060834,11277
15,00260,384850,6673248,751805,5478
16,00270,383758,6674930,864732,7723
17,00280,383955,6675745,787425,2963
18,00290,383910,6674307,268739,143
19,00300,383195,6675942,851105,5809
20,00310,384036,6676722,657213,890
21,00320,383409,6677407,1942280,10231
22,00330,382150,6675391,1726680,8848
23,00340,380844,6673300,1008214,1722
24,00350,381882,6676457,2148284,9309
25,00360,381245,6677484,539398,1825
26,00370,381032,6678211,3188974,6702
27,00380,382111,6677479,1324069,4515
28,00390,380759,6680135,3232854,6328
29,00400,383646,6678555,1764452,9672
30,00410,381444,6681036,1941784,8553
31,00420,382617,6680395,2937878,13989
32,00430,383711,6681530,4772714,5454
33,00440,382574,6679013,950305,4626
34,00500,386932,6673991,584540,12634
35,00510,386210,6674491,1066747,9628
36,00520,385787,6675359,1302377,7306
37,00530,386276,6673412,1588140,18612
38,00540,387683,6673550,683207,2521
39,00550,386939,6675139,962817,9464
40,00560,388106,6676772,3884319,13438
41,00570,389526,6673728,1796540,3962
42,00580,387780,6674661,1292602,2727
43,00590,390312,6672045,1821381,904
44,00600,387178,6677577,949209,4147
45,00610,386306,6676787,2173242,8249
46,00620,385565,6677939,2244049,3349
47,00630,385100,6678943,2513374,8383
48,00640,387194,6679152,2259873,8171
49,00650,387962,6678506,1631932,4315
50,00660,385356,6680111,2559655,6702
51,00670,385316,6681518,3040959,6025
52,00680,387015,6680610,2257775,3695
53,00690,386572,6682666,4620529,2761
54,00700,390789,6680665,6479126,13271
55,00710,389420,6679099,2823097,12710
56,00720,388585,6680320,2088327,8574
57,00730,390646,6682592,3623273,11226
58,00740,389151,6683735,3565185,10347
59,00750,391122,6684179,3031850,9629
60,00760,392776,6683130,3363242,7672
61,00770,393064,6681670,3546000,7289
62,00780,388578,6681817,2282750,7079
63,00790,390718,6678181,3725157,11039
64,00800,391136,6676464,3047913,7190
65,00810,390662,6674560,2446289,11578
66,00820,392404,6675298,1295254,7265
67,00830,393339,6673522,1599520,2243
68,00840,391916,6672665,3013995,8206
69,00850,393303,6671230,4156916,3144
70,00860,391759,6669179,6393082,395
71,00870,391402,6671484,1407889,6211
72,00880,391892,6675787,1596428,719
73,00890,400123,6682107,27345953,2007
74,00900,393609,6676850,1169003,4248
75,00910,394779,6676542,1118992,6183
76,00920,392788,6677787,3573373,13019
77,00930,393700,6675828,2034415,6830
78,00940,393444,6679510,5733170,26173
